,Tara
C2,Albania Algeria Argentina Armenia Australia Austria Azerbaijan Bahamas Bahrain Bangladesh Belarus Belgium Belize Bhutan Bolivia Bosnia and Herzegovina Botswana Brazil Brunei Bulgaria Cambodia Canada Chile Colombia Costa Rica Croatia Cyprus Czech Republic Denmark Dominican Republic Ecuador Egypt 
C0,China 
C1,Afghanistan Angola Benin Burkina Faso Burundi Cameroon Central African Republic Chad Comoros Cote d'Ivoire Djibouti 
