,Cluster
Afghanistan,C2
Albania,C3
Algeria,C3
Angola,C2
Argentina,C4
Armenia,C3
Australia,C4
Austria,C4
Azerbaijan,C1
Bahamas,C4
Bahrain,C4
Bangladesh,C1
Belarus,C1
Belgium,C4
Belize,C3
Benin,C2
Bhutan,C1
Bolivia,C1
Bosnia and Herzegovina,C3
Botswana,C3
Brazil,C3
Brunei,C4
Bulgaria,C1
Burkina Faso,C2
Burundi,C2
Cambodia,C1
Cameroon,C2
Canada,C4
Central African Republic,C2
Chad,C2
Chile,C4
China,C0
Colombia,C3
Comoros,C2
Costa Rica,C4
Cote d'Ivoire,C2
Croatia,C4
Cyprus,C4
Czech Republic,C4
Denmark,C4
Djibouti,C2
Dominican Republic,C1
Ecuador,C1
Egypt,C3
