,Tara
C3,Albania Algeria Armenia Belize Bosnia and Herzegovina Botswana Brazil Colombia Egypt 
C2,Afghanistan Angola Benin Burkina Faso Burundi Cameroon Central African Republic Chad Comoros Cote d'Ivoire Djibouti 
C0,China 
C4,Argentina Australia Austria Bahamas Bahrain Belgium Brunei Canada Chile Costa Rica Croatia Cyprus Czech Republic Denmark 
C1,Azerbaijan Bangladesh Belarus Bhutan Bolivia Bulgaria Cambodia Dominican Republic Ecuador 
