,Tara
C2,Argentina Australia Austria Bahamas Bahrain Belgium Brunei Canada Chile Costa Rica Croatia Cyprus Czech Republic Denmark 
C0,China 
C3,Albania Algeria Armenia Azerbaijan Bangladesh Belarus Belize Bhutan Bolivia Bosnia and Herzegovina Botswana Brazil Bulgaria Cambodia Colombia Dominican Republic Ecuador Egypt 
C1,Afghanistan Angola Benin Burkina Faso Burundi Cameroon Central African Republic Chad Comoros Cote d'Ivoire Djibouti 
