,Cluster
Afghanistan,C1
Albania,C2
Algeria,C2
Angola,C1
Argentina,C2
Armenia,C2
Australia,C2
Austria,C2
Azerbaijan,C2
Bahamas,C2
Bahrain,C2
Bangladesh,C2
Belarus,C2
Belgium,C2
Belize,C2
Benin,C1
Bhutan,C2
Bolivia,C2
Bosnia and Herzegovina,C2
Botswana,C2
Brazil,C2
Brunei,C2
Bulgaria,C2
Burkina Faso,C1
Burundi,C1
Cambodia,C2
Cameroon,C1
Canada,C2
Central African Republic,C1
Chad,C1
Chile,C2
China,C0
Colombia,C2
Comoros,C1
Costa Rica,C2
Cote d'Ivoire,C1
Croatia,C2
Cyprus,C2
Czech Republic,C2
Denmark,C2
Djibouti,C1
Dominican Republic,C2
Ecuador,C2
Egypt,C2
