,Tara
C0,Afghanistan Angola Benin Burkina Faso Burundi Cameroon Central African Republic Chad Comoros Cote d'Ivoire Djibouti 
C1,Albania Algeria Argentina Armenia Australia Austria Azerbaijan Bahamas Bahrain Bangladesh Belarus Belgium Belize Bhutan Bolivia Bosnia and Herzegovina Botswana Brazil Brunei Bulgaria Cambodia Canada Chile China Colombia Costa Rica Croatia Cyprus Czech Republic Denmark Dominican Republic Ecuador Egypt 
